"","TIME","Tair"
"1",2023-06-01,18.2645
"2",2023-06-01 00:10:00,18.2264
"3",2023-06-01 00:20:00,18.1115
"4",2023-06-01 00:30:00,17.969
"5",2023-06-01 00:40:00,17.836
"6",2023-06-01 00:50:00,17.7505
"7",2023-06-01 01:00:00,17.646
"8",2023-06-01 01:10:00,17.608
"9",2023-06-01 01:20:00,17.646
"10",2023-06-01 01:30:00,17.665
"11",2023-06-01 01:40:00,17.665
"12",2023-06-01 01:50:00,17.5985
"13",2023-06-01 02:00:00,17.57
"14",2023-06-01 02:10:00,17.4653
"15",2023-06-01 02:20:00,17.379
"16",2023-06-01 02:30:00,17.379
"17",2023-06-01 02:40:00,17.379
"18",2023-06-01 02:50:00,17.3315
"19",2023-06-01 03:00:00,17.284
"20",2023-06-01 03:10:00,17.2555
"21",2023-06-01 03:20:00,17.1415
"22",2023-06-01 03:30:00,16.9797
"23",2023-06-01 03:40:00,16.8555
"24",2023-06-01 03:50:00,16.7415
"25",2023-06-01 04:00:00,16.6465
"26",2023-06-01 04:10:00,16.618
"27",2023-06-01 04:20:00,16.6845
"28",2023-06-01 04:30:00,16.7985
"29",2023-06-01 04:40:00,16.808
"30",2023-06-01 04:50:00,16.808
"31",2023-06-01 05:00:00,16.808
"32",2023-06-01 05:10:00,16.7605
"33",2023-06-01 05:20:00,16.713
"34",2023-06-01 05:30:00,16.713
"35",2023-06-01 05:40:00,16.713
"36",2023-06-01 05:50:00,16.7985
"37",2023-06-01 06:00:00,16.808
"38",2023-06-01 06:10:00,16.9126
"39",2023-06-01 06:20:00,17.094
"40",2023-06-01 06:30:00,17.3507
"41",2023-06-01 06:40:00,17.5795
"42",2023-06-01 06:50:00,17.5985
"43",2023-06-01 07:00:00,17.6175
"44",2023-06-01 07:10:00,17.9595
"45",2023-06-01 07:20:00,18.4925
"46",2023-06-01 07:30:00,19.0345
"47",2023-06-01 07:40:00,19.4815
"48",2023-06-01 07:50:00,19.8625
"49",2023-06-01 08:00:00,20.2336
"50",2023-06-01 08:10:00,20.7291
"51",2023-06-01 08:20:00,21.139
"52",2023-06-01 08:30:00,21.607
"53",2023-06-01 08:40:00,21.9794
"54",2023-06-01 08:50:00,22.458
"55",2023-06-01 09:00:00,23.0712
"56",2023-06-01 09:10:00,23.6865
"57",2023-06-01 09:20:00,24.2935
"58",2023-06-01 09:30:00,24.6895
"59",2023-06-01 09:40:00,24.796
"60",2023-06-01 09:50:00,25.2705
"61",2023-06-01 10:00:00,25.9511
"62",2023-06-01 10:10:00,26.4192
"63",2023-06-01 10:20:00,26.6928
"64",2023-06-01 10:30:00,27.0652
"65",2023-06-01 10:40:00,27.1833
"66",2023-06-01 10:50:00,27.4291
"67",2023-06-01 11:00:00,27.7538
"68",2023-06-01 11:10:00,28.1293
"69",2023-06-01 11:20:00,28.3471
"70",2023-06-01 11:30:00,28.605
"71",2023-06-01 11:40:00,28.7242
"72",2023-06-01 11:50:00,29.0326
"73",2023-06-01 12:00:00,29.452
"74",2023-06-01 12:10:00,29.672
"75",2023-06-01 12:20:00,29.7824
"76",2023-06-01 12:30:00,30.2247
"77",2023-06-01 12:40:00,30.1745
"78",2023-06-01 12:50:00,30.0337
"79",2023-06-01 13:00:00,30.1944
